date,seqNo,open,close,high,low,volume,amount
20140102,1,71900,72200,72300,71800,25500,184013.0000
20140102,2,72200,72300,72700,71800,138000,995380.0000
20140102,3,72400,72500,72500,72300,57710,417960.3966
20140102,4,72500,72600,72700,72300,86100,624218.9009
20140102,5,72600,72000,72600,72000,55899,404776.4994
20140102,6,72300,72400,72600,72300,66800,483475.9000
20140102,7,72500,72500,72500,72300,50000,362036.0000
20140102,8,72500,72200,72500,72100,109600,792321.0000
20140102,9,72200,72100,72200,72000,88794,639680.7951
20140102,10,72200,72200,72300,72100,39240,283163.4019
20140102,11,72200,72300,72300,72200,44400,320826.0000
20140102,12,72300,72400,72500,72300,42500,307638.9941
20140102,13,72400,72300,72400,72200,50500,365033.0000
20140102,14,72300,72300,72300,72200,23700,171322.0000
20140102,15,72300,72200,72300,72200,22800,164667.0000
20140102,16,72200,72300,72300,72000,73800,531626.5952
20140102,17,72000,72300,72300,72000,35300,254754.9988
20140102,18,72300,72300,72300,72200,26200,189339.0000
20140102,19,72400,72400,72400,72300,26800,194027.9990
20140102,20,72500,72500,72500,72400,34000,246439.0000
20140102,21,72500,72500,72600,72500,9400,68188.0002
20140102,22,72600,72600,72600,72500,24510,177934.6025
20140102,23,72600,72600,72700,72600,44290,321665.4047
20140102,24,72500,72500,72500,72400,61100,442870.0000
20140102,25,72500,72600,72600,72500,15500,112397.0000
20140102,26,72500,72500,72600,72500,21501,155932.2500
20140102,27,72500,72700,72800,72500,94500,686635.0000
20140102,28,72800,72800,73000,72700,209900,1529653.0000
20140102,29,72800,72800,72900,72700,43601,317329.2685
20140102,30,72700,72600,72800,72600,71998,523207.4663
20140102,31,72700,72700,72700,72700,18000,130859.9994
20140102,32,72600,72500,72700,72500,104500,757876.0112
20140102,33,72500,72600,72700,72500,54400,395103.0010
20140102,34,72600,72500,72700,72500,62300,451880.0000
20140102,35,72500,72500,72500,72400,39700,287777.0000
20140102,36,72500,72600,72600,72500,20400,148051.0000
20140102,37,72600,72900,73200,72600,198997,1451145.9495
20140102,38,72900,72900,73000,72900,53000,386688.0000
20140102,39,73000,73100,73200,72800,179950,1314279.5000
20140102,40,73200,73200,73200,73000,215789,1578573.5712
20140102,41,73200,73100,73200,72900,53400,390158.0007
20140102,42,73100,73100,73200,73000,78900,576991.0015
20140102,43,73100,72900,73100,72900,88400,645456.0000
20140102,44,72900,72800,73000,72800,53450,389435.5000
20140102,45,72800,72800,72900,72700,52950,385355.5000
20140102,46,72800,72900,72900,72700,77300,563009.0000
20140102,47,72800,72800,72900,72700,101400,737613.0000
20140102,48,72700,72600,72800,72600,145900,1060404.0000
20140103,1,72500,72400,72800,72300,78400,567982.0000
20140103,2,72700,72400,72800,72400,40500,293784.0000
20140103,3,72400,72300,72500,72300,122200,884852.9961
20140103,4,72200,72300,72300,72100,97148,701244.0812
20140103,5,72300,72300,72300,72200,50000,361323.0000
20140103,6,72300,72300,72300,72200,87301,630596.2090
20140103,7,72200,71800,72300,71800,152651,1100048.6992
20140103,8,71800,71600,71800,71600,123700,886387.0000
20140103,9,71700,71900,72000,71600,68202,489445.3190
20140103,10,71900,72000,72200,71900,140899,1014992.7966
20140103,11,72000,71600,72000,71600,81101,581767.1989
20140103,12,71700,71900,72000,71600,94599,678945.8193
20140103,13,72000,71900,72000,71800,56800,408238.9995
20140103,14,71900,71900,71900,71800,73300,526594.9991
20140103,15,71900,72000,72000,71800,75001,539162.1970
20140103,16,71900,71800,72000,71800,41200,296248.0000
20140103,17,71800,71700,71800,71500,105100,753131.0000
20140103,18,71600,71700,71700,71600,44900,321758.0000
20140103,19,71700,71700,71800,71700,38000,272470.0000
20140103,20,71700,71800,71800,71600,65300,467944.0000
20140103,21,71900,71800,72000,71800,44200,317704.9996
20140103,22,71800,71700,71800,71600,45300,324525.0000
20140103,23,71700,71500,71700,71500,87500,626360.0000
20140103,24,71500,71400,71600,71400,99400,710271.0000
20140103,25,71400,71300,71500,71200,75200,536021.0000
20140103,26,71200,71300,71400,71200,51900,369740.0000
20140103,27,71400,71400,71400,71300,12500,89200.0000
20140103,28,71400,71700,71700,71300,28300,202006.0000
20140103,29,71700,71700,71700,71500,12201,87365.1501
20140103,30,71700,71600,71700,71500,26000,186174.0000
20140103,31,71500,71300,71600,71300,60899,434997.8530
20140103,32,71300,71200,71300,71200,105758,753177.9561
20140103,33,71200,71200,71400,71100,50101,356425.1200
20140103,34,71300,71300,71400,71100,105714,752437.4363
20140103,35,71300,71000,71300,70800,227600,1616687.6689
20140103,36,71000,71000,71200,70900,77634,551384.4013
20140103,37,71200,71300,71300,71000,44100,313503.9985
20140103,38,71300,71000,71300,70900,84801,602163.0995
20140103,39,71000,71400,71400,71000,64400,458745.0000
20140103,40,71400,71200,71400,71200,20200,143837.0000
20140103,41,71300,71200,71300,71200,36800,262216.0000
20140103,42,71200,71100,71300,71100,32600,232197.0000
20140103,43,71100,71300,71300,71100,58000,413084.0000
20140103,44,71300,71200,71300,71100,45200,321887.0000
20140103,45,71100,71000,71200,70900,191300,1360384.0000
20140103,46,71100,71100,71200,71000,121400,863237.9978
20140103,47,71000,71000,71200,70900,110500,785117.2402
20140103,48,71100,71100,71200,71000,203675,1448587.2502
20140106,1,71100,70600,71100,70100,39400,278434.0000
20140106,2,70600,70600,70700,70200,163098,1148099.9600
20140106,3,70600,70100,70900,70100,211002,1482592.0659
20140106,4,70100,69700,70100,69500,175748,1226301.5796
20140106,5,69800,69900,70000,69600,231700,1616837.9761
20140106,6,69900,69500,69900,69500,91100,634767.8999
20140106,7,69500,69600,69700,69500,107800,750296.9987
20140106,8,69600,69700,69700,69600,91700,638985.0000
20140106,9,69800,69900,70000,69800,114734,801734.3203
20140106,10,69800,69800,70000,69800,45100,314975.0000
20140106,11,69800,69600,69800,69600,81500,568236.9994
20140106,12,69600,69100,69600,68900,283900,1965142.0000
20140106,13,69100,69200,69300,69100,65600,453857.0000
20140106,14,69100,69100,69200,69100,47500,328530.0000
20140106,15,69100,69200,69200,69100,68300,472091.0000
20140106,16,69100,68900,69200,68900,87300,602727.0000
20140106,17,68900,68900,69000,68700,130900,901055.0000
20140106,18,68800,68300,68900,68300,95000,652268.0000
20140106,19,68400,68300,68400,68200,68600,468568.0000
20140106,20,68400,68100,68400,68000,144800,987584.9998
20140106,21,68000,68200,68300,67800,156125,1061753.2265
20140106,22,68200,68300,68300,68200,38700,264229.9999
20140106,23,68200,68500,68600,68200,57502,393014.6407
20140106,24,68600,68500,68600,68500,37300,255627.0000
20140106,25,68400,68500,68600,68400,64800,443639.0000
20140106,26,68400,68400,68500,68300,25000,171113.0000
20140106,27,68500,68500,68500,68400,22900,156726.0000
20140106,28,68400,68600,68700,68400,61860,424137.4000
20140106,29,68600,68700,68700,68600,17300,118780.0000
20140106,30,68800,68700,68800,68700,19200,131958.0000
20140106,31,68700,68500,68700,68500,9000,61698.0000
20140106,32,68500,68300,68600,68300,104800,717417.9961
20140106,33,68300,68300,68500,68300,44800,306378.0001
20140106,34,68300,68300,68400,68200,46998,320983.3406
20140106,35,68300,68300,68300,68200,30592,208940.3600
20140106,36,68300,68300,68400,68300,49808,340382.6398
20140106,37,68300,68300,68400,68300,33532,229074.5625
20140106,38,68400,68300,68400,68200,51768,353400.4375
20140106,39,68300,68100,68300,68000,98850,673031.0000
20140106,40,68100,67200,68100,67200,187649,1269032.2100
20140106,41,67500,67800,67800,67500,79901,540698.7618
20140106,42,67800,67600,67900,67600,31301,211999.7609
20140106,43,67700,68200,68200,67700,78601,534344.1427
20140106,44,68000,67900,68000,67800,28400,192920.0004
20140106,45,67900,67900,68000,67700,172629,1171678.6188
20140106,46,67800,67400,67900,67300,118669,802003.8414
20140106,47,67300,67300,67700,67300,136600,921073.9956
20140106,48,67400,67400,67500,67000,265401,1784658.6918
20140107,1,66900,67000,67000,66600,96100,641657.0000
20140107,2,67000,67500,67500,67000,71000,477651.9991
20140107,3,67400,67200,67500,67100,83000,558880.9963
20140107,4,67100,67000,67200,67000,79202,531040.3784
20140107,5,67100,67000,67200,67000,48100,322689.9995
20140107,6,67000,66900,67100,66800,74400,497975.9999
20140107,7,66900,66900,67000,66900,36001,241009.6912
20140107,8,67000,67100,67100,66900,131359,879789.2974
20140107,9,67100,67300,67300,67100,85299,573358.2703
20140107,10,67300,67200,67500,67200,66601,448770.7180
20140107,11,67200,67400,67400,67200,16399,110306.2693
20140107,12,67400,67500,67600,67400,43503,293623.2195
20140107,13,67500,67400,67500,67400,19500,131580.9999
20140107,14,67500,67900,67900,67400,82200,555895.0013
20140107,15,67900,67800,68000,67800,99000,672189.0002
20140107,16,67800,68300,68300,67600,129101,878442.8001
20140107,17,68300,67900,68300,67800,137199,933176.1957
20140107,18,67900,68000,68000,67800,39500,268350.0020
20140107,19,68000,68300,68400,68000,79801,543665.8099
20140107,20,68300,68200,68400,68200,42500,290221.0000
20140107,21,68200,68200,68300,68000,109100,742771.9033
20140107,22,68200,68100,68200,68000,42300,287902.0000
20140107,23,68100,68100,68200,68100,16600,113048.0000
20140107,24,68100,68000,68100,68000,21100,143569.0027
20140107,25,68100,68100,68200,68000,55660,379067.6021
20140107,26,68200,68100,68200,68100,11151,75948.3101
20140107,27,68100,68100,68100,68000,60989,415307.0898
20140107,28,68100,68100,68200,68000,16211,110384.9102
20140107,29,68100,68000,68200,68000,95789,652301.0897
20140107,30,68000,67900,68000,67800,69500,472374.0001
20140107,31,67900,67900,67900,67800,28400,192563.0002
20140107,32,67800,67700,67900,67700,27800,188456.0001
20140107,33,67800,67800,67900,67700,38601,261715.7712
20140107,34,67800,67700,67800,67700,17400,117917.9998
20140107,35,67800,67700,67800,67700,13400,90729.0007
20140107,36,67800,67900,67900,67700,14460,98115.2001
20140107,37,67900,67900,67900,67800,56500,383393.0001
20140107,38,67800,67700,67800,67700,72400,490666.0001
20140107,39,67700,67700,67800,67700,9800,66369.0000
20140107,40,67700,67400,67700,67400,104397,705948.7812
20140107,41,67400,67300,67400,67200,61801,416103.7335
20140107,42,67300,67400,67600,67300,49502,333577.4893
20140107,43,67400,67700,67700,67400,11300,76386.0005
20140107,44,67700,67800,67800,67700,61000,413155.0024
20140107,45,67800,67800,67800,67600,38000,257150.0016
20140107,46,67800,67600,67800,67600,78300,530225.0000
20140107,47,67600,67400,67600,67400,37401,252575.7421
20140107,48,67500,67500,67600,67400,158759,1071551.6550
20140108,1,67700,67800,67800,67400,27300,184608.0002
20140108,2,67800,68200,68200,67800,37000,251325.0000
20140108,3,68100,68100,68300,68100,28500,194289.0009
20140108,4,68100,68000,68200,67900,56700,385701.0000
20140108,5,68000,68300,68400,67900,214914,1465124.4621
20140108,6,68400,68100,68400,68000,62140,423537.1987
20140108,7,68200,68100,68200,68100,14109,96134.2900
20140108,8,68100,68100,68100,68000,45600,310515.9989
20140108,9,68100,68000,68200,68000,95500,649797.9201
20140108,10,68100,68100,68200,68000,57500,391595.0000
20140108,11,68100,67900,68100,67900,85127,578864.6122
20140108,12,68000,67900,68000,67700,63410,429957.9010
20140108,13,67800,67800,67900,67800,31300,212291.0005
20140108,14,67800,67600,67900,67600,60000,406504.0031
20140108,15,67700,67600,67700,67600,57000,385412.0000
20140108,16,67600,67700,67800,67600,20000,135409.0000
20140108,17,67800,67700,67800,67700,28860,195469.1992
20140108,18,67700,67700,67700,67600,28421,192379.1702
20140108,19,67700,67500,67700,67500,36179,244456.8303
20140108,20,67400,67400,67400,67000,70980,476955.9998
20140108,21,67100,67200,67200,66900,33000,221308.9995
20140108,22,67300,67200,67300,67100,40600,272802.9996
20140108,23,67200,67100,67300,67100,25065,168282.1498
20140108,24,67100,67100,67100,67100,33835,227032.8511
20140108,25,67100,67100,67200,67000,53805,361122.5002
20140108,26,67300,67200,67300,67100,62800,421953.9995
20140108,27,67400,67500,67500,67100,45500,306241.9987
20140108,28,67600,67400,67600,67300,25500,171910.0000
20140108,29,67400,67500,67500,67300,9900,66676.0000
20140108,30,67400,67200,67500,67200,50900,342379.9976
20140108,31,67200,67300,67500,67200,31599,212437.2787
20140108,32,67400,67200,67400,67200,5700,38381.9993
20140108,33,67200,67300,67300,67200,25600,172079.9973
20140108,34,67300,67200,67300,67200,23700,159469.9998
20140108,35,67300,67200,67300,67200,28600,192223.9973
20140108,36,67200,67200,67200,67100,35801,240522.7176
20140108,37,67200,67200,67300,67100,23600,158487.9984
20140108,38,67200,67200,67300,67200,53200,357718.9999
20140108,39,67200,66900,67200,66900,134795,903756.5000
20140108,40,66900,67000,67000,66800,61205,409488.4504
20140108,41,66900,66900,67000,66800,101200,676888.9539
20140108,42,66900,66800,66900,66800,91300,610168.9930
20140108,43,66900,66700,67000,66700,133295,891263.5956
20140108,44,66700,66300,66800,66200,239400,1593398.0099
20140108,45,66300,66500,66700,66200,192900,1279615.0000
20140108,46,66500,66500,66700,66400,82324,547652.6091
20140108,47,66500,66500,66700,66500,213767,1422554.2306
20140108,48,66500,66600,66700,66400,262155,1744599.0198
20140109,1,66800,67100,67100,66500,26700,178105.0000
20140109,2,67100,67000,67300,67000,81100,543620.0000
20140109,3,67000,67000,67100,66900,97899,655440.3086
20140109,4,66900,66900,67000,66900,27900,186710.0000
20140109,5,66900,67100,67100,66900,58950,395026.5000
20140109,6,67000,66800,67100,66800,105750,707821.5000
20140109,7,66800,66700,66800,66600,57800,385330.0000
20140109,8,66700,66400,66700,66400,117200,779566.0083
20140109,9,66400,66500,66500,66300,57000,378520.0000
20140109,10,66500,67800,67800,66400,304609,2048573.1526
20140109,11,67800,67800,68000,67600,261400,1772521.1976
20140109,12,67800,67700,67900,67700,47430,321467.1922
20140109,13,67800,67800,67900,67600,123400,837294.9977
20140109,14,67700,67700,67800,67600,53600,363075.0021
20140109,15,67600,67300,67700,67300,78500,529645.0020
20140109,16,67400,67900,67900,67400,61426,416157.2791
20140109,17,67900,67700,67900,67700,57400,389419.9999
20140109,18,67700,67900,67900,67700,24400,165415.0002
20140109,19,67800,67800,67900,67800,85700,581061.0203
20140109,20,67800,67600,67800,67600,17300,117099.0008
20140109,21,67600,67700,67800,67600,18400,124481.0040
20140109,22,67700,67700,67700,67700,18400,124568.0000
20140109,23,67700,67600,67700,67500,44352,299827.5244
20140109,24,67600,67700,67700,67500,18600,125771.0012
20140109,25,67700,67600,67800,67600,95400,645733.0049
20140109,26,67600,67500,67600,67500,47200,318675.0001
20140109,27,67600,67400,67600,67400,70300,474448.0010
20140109,28,67400,67200,67400,67200,47100,317021.0000
20140109,29,67300,67200,67300,67100,58000,389791.9998
20140109,30,67100,67300,67400,67100,37601,252751.7063
20140109,31,67300,67200,67400,67200,43700,293792.9999
20140109,32,67100,67100,67100,67000,91700,615030.9932
20140109,33,67100,67000,67200,67000,95699,641683.2773
20140109,34,67000,67000,67000,66900,120200,804318.0000
20140109,35,67000,67000,67000,66800,137500,919362.9902
20140109,36,67000,67000,67000,66800,54000,361169.9983
20140109,37,66900,66700,66900,66600,71900,479763.0000
20140109,38,66700,66600,66800,66600,78000,519689.0000
20140109,39,66600,66600,66800,66500,104900,698620.0000
20140109,40,66600,66600,66600,66500,71101,473361.6501
20140109,41,66700,66800,66800,66600,30100,200692.0000
20140109,42,66800,66500,66800,66400,71800,477881.9907
20140109,43,66500,66600,66700,66500,56500,376320.0000
20140109,44,66600,66700,66700,66500,116480,775480.9990
20140109,45,66700,66600,66700,66500,82511,549753.2575
20140109,46,66700,66500,66700,66500,82709,550769.7373
20140109,47,66500,66300,66500,66200,187799,1245138.3629
20140109,48,66200,66100,66200,66000,227100,1500704.9902
20140110,1,66100,66400,66400,66000,112500,743287.0002
20140110,2,66400,65900,66500,65900,44200,292512.0000
20140110,3,65800,65800,66000,65600,95300,626279.0000
20140110,4,65900,65800,65900,65700,79800,524713.0000
20140110,5,65800,65800,65900,65700,28100,184964.0000
20140110,6,65800,65500,65900,65500,44500,292326.0000
20140110,7,65600,65600,65600,65400,92101,602847.5408
20140110,8,65500,65800,65900,65500,92780,608582.4000
20140110,9,65900,66100,66300,65900,35100,231953.9998
20140110,10,66000,66000,66200,65900,25500,168413.0000
20140110,11,66200,66000,66200,66000,57200,378574.9974
20140110,12,66000,66200,66200,65800,40000,264041.0000
20140110,13,66200,65900,66200,65900,77300,510730.9998
20140110,14,66000,65900,66000,65900,25300,166773.0000
20140110,15,65800,65800,65800,65700,22900,150639.0000
20140110,16,65800,66000,66300,65800,222756,1470238.5984
20140110,17,66000,65900,66100,65900,25544,168570.3999
20140110,18,65800,65500,65800,65500,110210,722668.5000
20140110,19,65800,65600,65900,65500,26400,173174.0000
20140110,20,65600,65600,65700,65500,63300,415225.0000
20140110,21,65600,65500,65600,65400,80290,525695.5000
20140110,22,65500,65400,65600,65400,80900,529841.0000
20140110,23,65500,65500,65500,65400,20310,132962.5000
20140110,24,65600,65500,65600,65500,32400,212525.0000
20140110,25,65700,65400,65700,65300,112690,738169.4999
20140110,26,65400,65500,65500,65300,83865,548276.1026
20140110,27,65500,65600,65600,65300,25700,168220.3512
